Prediction,Option0,Option1,Option2,Option3,Option4
0,-72.95068359375,-77.67620086669922,-84.78007507324219,-84.15592193603516,-84.78289031982422
4,-59.038822174072266,-58.33835220336914,-51.380130767822266,-58.7463493347168,-40.76094055175781
4,-41.842254638671875,-48.12351608276367,-56.92164611816406,-55.88154983520508,-33.08047866821289
1,-50.702762603759766,-48.706153869628906,-64.66521453857422,-57.843299865722656,-53.51133728027344
2,-35.85661697387695,-41.50063705444336,-28.38915252685547,-53.432640075683594,-41.76329040527344
3,-35.12452697753906,-34.536231994628906,-30.37091636657715,-29.451330184936523,-39.23033905029297
2,-64.95642852783203,-64.1684341430664,-55.4837760925293,-61.07422637939453,-71.17626190185547
0,-40.610931396484375,-58.09469985961914,-48.35728073120117,-53.43770217895508,-51.982826232910156
3,-46.453678131103516,-46.24095916748047,-44.25281524658203,-33.739871978759766,-54.72748565673828
3,-70.67886352539062,-71.52973175048828,-73.67874908447266,-59.33658218383789,-65.76457214355469
4,-43.20010757446289,-57.33409881591797,-39.423423767089844,-40.48002624511719,-30.510845184326172
0,-27.939931869506836,-40.04038619995117,-41.63289260864258,-37.15968322753906,-41.11994552612305
1,-64.773681640625,-46.24369430541992,-64.64348602294922,-58.720760345458984,-59.334800720214844
4,-83.7347412109375,-72.82984161376953,-71.2357177734375,-72.17747497558594,-57.54079055786133
3,-41.754364013671875,-29.835872650146484,-35.14369583129883,-26.057729721069336,-35.48759841918945
4,-69.23497772216797,-72.01042938232422,-70.10675811767578,-72.73017120361328,-68.9013442993164
4,-47.47248077392578,-43.19129180908203,-48.383766174316406,-43.67928695678711,-37.24473190307617
1,-37.83216094970703,-28.005563735961914,-35.45933532714844,-33.820987701416016,-37.204830169677734
1,-57.23527526855469,-48.047637939453125,-57.67155456542969,-52.05647659301758,-57.050601959228516
3,-37.879188537597656,-34.5147705078125,-29.623241424560547,-29.25867462158203,-31.944116592407227
1,-48.50529098510742,-26.6883544921875,-48.91790771484375,-46.463653564453125,-39.26652908325195
4,-78.75291442871094,-75.48602294921875,-70.65633392333984,-73.33843231201172,-67.58049774169922
0,-45.705223083496094,-51.72772216796875,-46.84603500366211,-48.24343490600586,-47.4009895324707
1,-54.50291061401367,-37.796451568603516,-52.2030029296875,-55.15288543701172,-62.68946075439453
1,-39.46542739868164,-32.308685302734375,-49.64607238769531,-41.014217376708984,-42.475006103515625
0,-30.33616065979004,-48.960174560546875,-34.09512710571289,-53.42818832397461,-43.208377838134766
2,-77.35074615478516,-60.93814468383789,-57.311187744140625,-68.8951187133789,-70.35897827148438
2,-83.0760498046875,-82.2762222290039,-73.05529022216797,-75.37446594238281,-86.50409698486328
3,-48.94816970825195,-39.66758346557617,-40.34935760498047,-38.3467903137207,-38.49018478393555
3,-41.90839767456055,-39.569271087646484,-39.58971405029297,-29.58873748779297,-43.01405715942383
3,-47.913475036621094,-40.51502990722656,-48.48686599731445,-37.848670959472656,-49.502986907958984
2,-48.918907165527344,-49.66771697998047,-38.768699645996094,-47.37195587158203,-56.78725051879883
1,-67.9433822631836,-48.845863342285156,-64.85779571533203,-64.3861312866211,-68.89097595214844
3,-49.39366912841797,-46.538734436035156,-44.48411178588867,-39.35496139526367,-48.91176986694336
3,-40.866722106933594,-42.664344787597656,-44.067134857177734,-37.254310607910156,-53.01356506347656
1,-65.93879699707031,-46.91462707519531,-62.84427261352539,-64.58746337890625,-67.40412139892578
1,-45.854766845703125,-33.413230895996094,-40.47943115234375,-43.67448425292969,-44.46900939941406
0,-57.48892593383789,-71.468505859375,-70.9975357055664,-74.78987121582031,-78.96229553222656
2,-44.72401428222656,-49.317893981933594,-37.31096267700195,-45.79545974731445,-46.38447952270508
4,-39.32602310180664,-35.21186447143555,-36.62204360961914,-29.965255737304688,-25.203506469726562
2,-103.35684204101562,-110.90448760986328,-94.73294067382812,-109.56700134277344,-103.00269317626953
0,-12.751057624816895,-35.40589904785156,-33.08967590332031,-31.06782341003418,-31.569143295288086
0,-39.81317901611328,-48.44818115234375,-57.097904205322266,-42.523563385009766,-57.58394241333008
2,-53.05321502685547,-46.413455963134766,-27.88544464111328,-43.43490982055664,-48.68439865112305
4,-25.15321922302246,-17.06085205078125,-21.69611358642578,-23.74298095703125,-7.908013343811035
4,-39.68009567260742,-47.803096771240234,-38.714054107666016,-52.54072570800781,-33.1048583984375
1,-46.00118637084961,-24.54840850830078,-41.29745101928711,-41.31881332397461,-40.71992874145508
1,-60.07476806640625,-44.67684555053711,-56.81550216674805,-57.59828567504883,-56.399208068847656
3,-63.739219665527344,-59.19621658325195,-65.17991638183594,-41.11206817626953,-60.556419372558594
4,-42.72748565673828,-48.83024597167969,-48.938194274902344,-48.7160530090332,-37.23444366455078
1,-30.288570404052734,-18.12671661376953,-20.893163681030273,-34.78102111816406,-23.780292510986328
4,-44.10557174682617,-40.4087028503418,-42.16230010986328,-44.636192321777344,-40.19001007080078
3,-25.92096710205078,-31.694442749023438,-19.580341339111328,-18.82928466796875,-37.0482177734375
1,-39.6229133605957,-28.636316299438477,-44.5292854309082,-34.078529357910156,-34.914241790771484
1,-35.42221450805664,-31.712718963623047,-39.353477478027344,-42.87468338012695,-39.74791717529297
3,-58.35972595214844,-57.89094161987305,-62.07239532470703,-56.18053436279297,-60.38849639892578
1,-129.357421875,-109.88035583496094,-130.2151336669922,-137.8531951904297,-124.1095962524414
1,-43.181270599365234,-31.647193908691406,-50.24362564086914,-42.56929016113281,-48.19452667236328
1,-35.97608184814453,-23.057851791381836,-31.580812454223633,-39.94746780395508,-36.877445220947266
4,-44.17144775390625,-51.755470275878906,-50.23392105102539,-44.91706848144531,-43.13127899169922
3,-67.22711944580078,-66.42546844482422,-60.451908111572266,-42.49259567260742,-70.1060562133789
