Prediction,Option0,Option1,Option2,Option3,Option4
3,-26.845468521118164,-24.341005325317383,-20.281150817871094,-17.900178909301758,-29.65395164489746
0,-31.176593780517578,-39.50009536743164,-43.84504699707031,-34.42108917236328,-42.6990966796875
3,-41.54591751098633,-44.12250900268555,-43.050559997558594,-33.405731201171875,-42.31399154663086
0,-40.411231994628906,-42.84198760986328,-47.152793884277344,-43.844791412353516,-42.18156433105469
4,-32.92756652832031,-33.41916275024414,-22.975299835205078,-35.226810455322266,-22.93377685546875
2,-68.83470916748047,-84.74471282958984,-61.985618591308594,-85.28715515136719,-74.16294860839844
3,-27.094833374023438,-32.25967025756836,-32.86345672607422,-23.515560150146484,-31.993350982666016
1,-55.05933380126953,-42.71764373779297,-45.12055587768555,-47.677284240722656,-56.03562927246094
2,-62.696937561035156,-57.753639221191406,-37.66218948364258,-46.58335876464844,-60.670082092285156
3,-49.734046936035156,-57.2236442565918,-44.76027297973633,-44.441734313964844,-46.97185516357422
3,-64.81806182861328,-60.71501159667969,-71.38182830810547,-50.44775390625,-63.149322509765625
3,-34.6291389465332,-40.06599044799805,-39.151302337646484,-27.55935287475586,-39.71359634399414
3,-55.2816047668457,-49.94767379760742,-61.880340576171875,-47.78770446777344,-57.106956481933594
0,-65.53792572021484,-71.40415954589844,-71.8236083984375,-74.76139068603516,-69.62724304199219
2,-90.9863052368164,-98.10618591308594,-83.1200180053711,-94.73692321777344,-97.93868255615234
0,-37.4393424987793,-40.36177062988281,-47.15726852416992,-50.41160202026367,-49.9629020690918
2,-45.074180603027344,-60.36960220336914,-41.240047454833984,-57.591651916503906,-55.85380172729492
3,-53.33502960205078,-48.544551849365234,-47.82571029663086,-35.041465759277344,-50.849491119384766
0,-35.88246154785156,-40.55500793457031,-39.88093948364258,-54.06261444091797,-41.506072998046875
3,-52.05441665649414,-56.46281814575195,-54.456207275390625,-43.07996368408203,-52.1238899230957
2,-31.841367721557617,-20.97118377685547,-17.36811065673828,-35.01119613647461,-34.11013412475586
2,-87.64227294921875,-89.59205627441406,-79.17486572265625,-98.6833724975586,-100.49848937988281
4,-58.694889068603516,-67.19856262207031,-70.2123794555664,-61.730377197265625,-57.32241439819336
3,-88.75785064697266,-82.38375854492188,-91.19526672363281,-77.264892578125,-94.98722076416016
0,-19.86349105834961,-27.63837432861328,-36.97632598876953,-31.109153747558594,-28.859127044677734
2,-65.27900695800781,-60.8312873840332,-56.161380767822266,-63.06822204589844,-65.32192993164062
4,-43.28831100463867,-45.25384521484375,-43.99279022216797,-45.8413200378418,-34.8704948425293
0,-68.51691436767578,-92.08025360107422,-87.78135681152344,-75.84929656982422,-88.03148651123047
4,-93.91556549072266,-105.39454650878906,-110.42908477783203,-108.67568969726562,-91.87448120117188
1,-57.0439338684082,-49.742645263671875,-66.51156616210938,-51.10920715332031,-69.02906036376953
0,-42.840511322021484,-54.60850524902344,-55.50459671020508,-61.60897445678711,-60.279296875
3,-38.050941467285156,-45.5489387512207,-49.10612106323242,-34.11955261230469,-49.05088806152344
0,-59.53052520751953,-67.11318969726562,-76.51166534423828,-66.67379760742188,-69.61617279052734
2,-59.207496643066406,-67.63275909423828,-55.93121337890625,-69.26300811767578,-64.97931671142578
0,-70.94583892822266,-72.42893981933594,-75.28858184814453,-83.79310607910156,-73.65779876708984
2,-28.307470321655273,-31.80609130859375,-19.246580123901367,-33.56748962402344,-30.615501403808594
0,-41.14908981323242,-51.26046371459961,-43.677677154541016,-46.00893783569336,-47.584556579589844
0,-122.3816909790039,-153.2332000732422,-138.6707305908203,-150.23304748535156,-155.70455932617188
1,-54.0169792175293,-35.11764907836914,-48.53658676147461,-47.516414642333984,-47.44963836669922
3,-31.097867965698242,-40.36458206176758,-31.577396392822266,-22.588388442993164,-42.88865661621094
1,-66.62409973144531,-58.17667007446289,-65.08148193359375,-65.3440170288086,-61.78407287597656
4,-38.99227523803711,-38.81050491333008,-41.26546859741211,-33.874656677246094,-25.510332107543945
3,-78.20115661621094,-70.83302307128906,-70.00162506103516,-64.90021514892578,-76.05570983886719
